date,iir,cpi,ppi,m1,m2,fai,pmi,pmim,pr,pc
2005/1/31,,,,,,,,,,
2005/2/28,,,,,,,,,,
2005/3/31,,,,,,,,,,
2005/4/30,16,3.9,5.78,10.6,14.1,25.7,57.9,48.4,14.9,23.1
2005/5/31,16.6,2.7,5.9,10.4,14.6,26.4,57.9,48.4,14.9,23.1
2005/6/30,16.8,1.8,5.9,11.25,15.67,27.1,56.7,48.4,22.1,15.9
2005/7/31,16.8,1.8,5.9,11.25,16.3,27.2,52.9,45.2,22.1,15.9
2005/8/31,16.8,1.8,5.3,11.5,17.34,27.4,52.6,44.3,23.4,22.1
2005/9/30,16.5,1.8,5.3,11.64,17.92,27.7,55.1,48,25,22.1
2005/10/31,16.5,1.3,5.3,12.08,17.99,27.7,55.1,48,30.9,22.1
2005/11/30,16.6,1.3,4.5,12.7,18.3,27.8,55.1,48,30.9,25.9
2005/12/31,16.6,1.6,4,12.7,18.3,27.8,54.3,48.1,42.5,25.9
2006/1/31,16.6,1.9,3.2,12.7,19.21,27.8,54.3,48.1,42.5,43.2
2006/2/28,20.1,1.9,3.2,12.4,19.21,27.2,54.3,48.1,42.5,43.2
2006/3/31,20.1,1.9,3.05,12.7,19.21,29.8,55.3,48.9,24.7,43.2
2006/4/30,20.1,1.2,3.01,12.7,18.9,29.8,58.1,48.9,30.3,14.8
2006/5/31,17.9,1.4,2.49,14.01,19.1,30.3,58.1,48.9,30.3,14.8
2006/6/30,19.5,1.5,3.52,14.01,19.1,31.3,58.1,47.9,30.3,20.4
2006/7/31,19.5,1.5,3.58,15.3,19.1,31.3,54.8,46.8,36.3,20.4
2006/8/31,19.5,1.5,3.58,15.6,18.43,31.3,54.1,46.8,36.3,20.4
2006/9/30,16.7,1.5,3.58,15.7,18.4,30.5,57,50.1,36.3,19.1
2006/10/31,16.1,1.5,3.5,16.3,17.9,29.1,57,50.1,31.1,22.1
2006/11/30,16.1,1.9,3.5,16.8,17.1,28.2,57,50.1,28.7,22.1
2006/12/31,14.9,2.8,3.1,17.48,17.1,26.8,55.3,49.5,28.7,25.66
2007/1/31,24.71,2.8,3.3,20.21,16.94,26.6,55.3,50.6,34.2,25.66
2007/2/28,24.71,2.8,3.3,21,17.8,24.3,55.1,50.6,34.2,63.09
2007/3/31,24.71,3.3,3.3,21,17.8,25.3,56.1,50.8,34.2,63.09
