date,iir,cpi,ppi,m1,m2,fai,pmi,pmim,pr,pc
2005/1/31,,,,,,,,,,
2005/2/28,,,,,,,,,,
2005/3/31,,,,,,,,,,
2005/4/30,7.6,1.8,5.38,9.9,13.9,24.5,54.5,47.7,2.5,8.1
2005/5/31,15.1,1.8,5.6,9.9,14,25.3,52.9,45.2,9.4,13.4
2005/6/30,16,1.6,5.2,10,14.1,25.7,51.7,44.2,14,13.4
2005/7/31,16.1,1.6,5.2,10.4,14.6,26.4,51.1,43.7,14,14.3
2005/8/31,16,1.3,5.2,11,15.67,27.1,51.1,43.7,18.6,14.3
2005/9/30,16,0.9,4.5,11,16.3,27.2,51.1,43.7,18.6,15.7
2005/10/31,16,0.9,4,11.5,17.34,27.4,52.6,44.3,23.4,14.1
2005/11/30,16.1,0.9,3.2,11.64,17.92,27.6,54.1,45.5,22.3,14.1
2005/12/31,16.1,1.2,3.2,11.78,17.57,27.2,54.1,45.5,22.3,14.1
2006/1/31,12.6,1.3,3.05,10.63,17.57,26.9,52.1,46.4,22.3,24.82
2006/2/28,12.6,0.9,3.01,10.63,17.57,26.6,52.1,45.7,17.5,5.9
2006/3/31,12.6,0.8,2.49,10.63,18.8,26.6,52.1,45.7,14.8,5.9
2006/4/30,16.6,0.8,1.87,12.4,18.8,26.6,52.1,45.7,14.8,5.9
2006/5/31,16.6,0.8,1.87,12.5,18.8,29.6,54.8,45.6,14.8,8.6
2006/6/30,16.6,1.2,1.87,12.5,18.43,29.6,54.1,45.6,18.4,8.6
2006/7/31,16.7,1,2.43,13.9,18.4,30.3,52.4,45.6,18.4,8.6
2006/8/31,15.7,1,3.4,13.9,17.9,29.1,52.4,45.1,18.4,7.9
2006/9/30,15.7,1,3.4,15.3,16.83,28.2,52.4,45.1,22.3,7.9
2006/10/31,14.7,1.3,2.9,15.6,16.83,26.8,53.1,45.1,22.3,7.9
2006/11/30,14.7,1.4,2.78,15.7,16.8,26.6,54.7,47.8,19.8,18.7
2006/12/31,14.7,1.4,2.78,16.3,16.8,24.3,54.7,47.8,19.8,18.7
2007/1/31,14.7,1.9,2.78,16.8,15.93,23.85,54.8,48.8,19.8,-16
2007/2/28,12.6,2.2,2.6,17.48,15.93,23.4,53.1,47.4,20.16,-16
2007/3/31,12.6,2.2,2.6,19.8,15.93,23.4,53.1,47.4,20.16,-16
